,Error
1173,0.18410398314680448
1174,0.1867924123992623
1175,0.18323940743068592
1176,0.18033087674511109
1177,0.18403201321455143
1178,0.17896729237836054
1179,0.17631016400199587
1180,0.1869603192717569
1181,0.20206523718029837
1182,0.21301154371875766
1183,0.21880120166894468
1184,0.22296634585099973
1185,0.224950378096464
1186,0.23381396945944966
1187,0.24750254132078783
1188,0.2584001865344831
1189,0.2605039529005479
1190,0.25760508686317973
1191,0.25435751246122096
1192,0.25628837922369857
1193,0.26273431448745044
1194,0.2666645661582565
1195,0.2611705535387634
1196,0.2613577627755201
1197,0.26023257169387193
1198,0.24821258259577686
1199,0.24361467136672915
1200,0.2405167634643064
1201,0.23846798926015766
1202,0.23418828690924495
1203,0.2262389122062173
1204,0.2205213141838081
1205,0.2239407781464649
1206,0.22417068572849383
1207,0.22152083654169097
1208,0.21628782693301837
1209,0.2027415383934778
1210,0.19807442263269806
1211,0.19711064075840362
1212,0.1958467828719184
1213,0.20033841621400741
1214,0.2038218509647463
1215,0.2040120621349739
1216,0.20192518415779562
1217,0.19400906177241264
1218,0.18864118611302727
1219,0.19076843299414079
1220,0.1927569719231982
1221,0.1931888002295305
1222,0.19076502436700224
1223,0.19322660465426483
1224,0.1949897805353857
1225,0.1927387099629354
1226,0.1887451536465528
1227,0.18162752104951216
1228,0.16595154693256445
1229,0.15129699935504512
1230,0.14746815834640567
1231,0.14488706086879938
1232,0.14769764606794988
1233,0.1436168138537273
1234,0.1439499610152705
1235,0.1384853132525899
1236,0.14002976875240233
1237,0.14966271936214132
1238,0.14666405354693196
1239,0.1392191724928451
1240,0.13044638084488422
1241,0.1247176080246165
1242,0.1247619412167105
1243,0.1288902542808231
1244,0.134014813314705
1245,0.13799011834195427
1246,0.1459815840617094
1247,0.15567400653860067
1248,0.1636311917904281
1249,0.1662784311014497
1250,0.17644471163273157
